infant,event_number,event_time_s,precursor_start_s,precursor_end_s,control_start_s,control_end_s,risk_label,window_type,ecg_mean,ecg_std,ecg_rms,r_peak_count,mean_rr,std_rr,mean_hr,min_hr,max_hr,std_hr,sdnn,rmssd,resp_mean,resp_std,resp_rms,resp_peak_count,mean_resp_interval,std_resp_interval,mean_resp_rate,std_resp_rate
1,2.0,3456.512,3441.512,3456.512,,,1,precursor,-9.107309147686665e-05,0.1820472662915377,0.18204728907218043,36,0.4060571428571429,0.04537963221984248,149.35909858008498,109.4890510948905,163.04347826086982,14.362267310506947,46.04214364684426,16.78935236812808,-0.11847620679988884,0.7200220235545024,0.7297042729635139,10,1.4751111111111113,0.25647371294559357,41.99092947619229,7.692173721495572
3,2.0,8143.846,8128.846,8143.846,,,1,precursor,-0.0005179198639059178,0.15661872651216213,0.1566195828601164,31,0.4921333333333333,0.0070603745572660696,121.94302588224035,116.73151750972762,125.00000000000011,1.7323594737040011,7.181073463762589,6.928203230275883,0.06325385404634293,0.5322796283569271,0.536024862124421,7,2.2266666666666666,1.7381855162464355,39.95258414317864,19.874797184611484
3,3.0,9427.3,9412.3,9427.3,,,1,precursor,-0.0006962838193453541,0.18848163637106666,0.18848292246320908,30,0.5132413793103447,0.11202883100973524,121.17661366974465,65.93406593406596,179.64071856287444,20.67901516233703,114.01179612291169,187.8004259846072,-0.08400767486478569,1.0768679759236264,1.0801397719767731,11,1.352,0.28791665460684984,46.38110348599565,9.615755295953976
9,1.0,6900.05,6885.05,6900.05,,,1,precursor,-0.000860830489536765,0.1980217635858589,0.19802363465704165,31,0.4745333333333333,0.025674544245657436,126.77621674351379,108.69565217391312,131.57894736842118,6.2208028325227005,26.113457137616997,9.005745292637592,-0.12664191386794202,0.5997451994453039,0.6129702102107594,7,1.97,0.9999833331944422,39.03665883461236,19.489947461594394
9,2.0,10072.6,10057.6,10072.6,,,1,precursor,0.0020170083386183285,0.21814428022247911,0.2181536048668955,34,0.4395151515151515,0.005280732342010222,136.5334760930912,131.57894736842118,138.8888888888889,1.6158600587905843,5.36260904388678,4.046603514059768,0.2751705821758983,0.6641985592500311,0.7189426788032826,10,1.4444444444444444,0.30004114944124693,43.063704735743904,7.486581431418213
1,,,,,14789.788,14804.788,0,control,-0.0010375734921482707,0.185897922008189,0.1859008175498815,36,0.4091428571428571,0.012266430047998893,146.7754960428233,133.92857142857144,153.06122448979613,4.254911087386498,12.445511492201602,7.545937746270538,0.03199875034538923,0.4510859496009452,0.4522194754221152,12,1.23,0.286735861980071,51.365508442023014,11.692621790587935
1,,,,,70419.78,70434.78,0,control,-0.00014782210208112592,0.16833784762125398,0.1683379125245718,39,0.3776842105263158,0.005477731297371638,158.89639111923375,154.639175257732,163.04347826086982,2.3110579902116903,5.551261182041188,3.479670689606696,-0.004922774170077213,0.6180136685469337,0.6180332743601827,11,1.3634,0.3437441490411147,45.90924409038744,7.723634680881891
1,,,,,71319.78,71334.78,0,control,0.00043989366565550073,0.21670419466819452,0.21670464114371854,41,0.36849999999999994,0.004748684028233533,162.84923337122504,157.89473684210526,168.53932584269668,2.094107011302422,4.809179257233545,4.0509574683347145,-0.06260575780502135,1.4798484600051545,1.481172152550124,5,2.7685,0.7805490055083025,23.15091145827453,5.3178399483984755
1,,,,,107559.096,107574.096,0,control,1.2103134881505066e-05,0.2911656122631651,0.2911656125147159,38,0.39297297297297296,0.011214099442066947,152.80522876045836,144.2307692307691,159.57446808510642,4.311317724714557,11.368783982873834,7.9721738287343005,0.17735880599516846,0.9441755127770977,0.9606890990283626,12,1.2001818181818182,0.17188887434609307,51.120759817239716,7.966399041354059
1,,,,,127371.824,127386.824,0,control,-0.0009914074703577034,0.1816659891062295,0.18166869429463342,39,0.38094736842105265,0.014780761622035064,157.73878616574208,148.51485148514854,166.66666666666694,6.102647349581522,14.979169984620837,3.8903901006371795,-0.00979069089006313,1.2813368131223606,1.2813742178968142,8,1.49,0.6340356006228225,44.784516625123686,10.819247336956515
